feature,source,formula,leakage_risk,availability
derived_age_years,Property,age_years from descriptions or fallback to median (5.0),None,Full (100%)
derived_area_per_bhk,Property,builtup_area_sqft / bhk,None,Full (100%)
derived_bathrooms_per_bhk,Property,bathrooms / bhk,None,Full (100%)
derived_carpet_efficiency,Property,carpet_area_sqft / builtup_area_sqft (clamped to 1.0),None,Full (100% after imputation)
derived_floor_ratio,Property,floor_no / total_floors (fallback to 0.5),None,Full (100% after imputation)
derived_city_locality,Location,"city + ""_"" + locality",None,Full (100%)
derived_locality_price_premium,Location,locality_median_rent_per_sqft / city_median_rent_per_sqft,None (uses independent rental prices),Full (100%)
derived_accessibility_score,Location,Weighted exponential decay index of infrastructure distances,None,Full (100%)
derived_amenity_score,Location,parks_3km * 3 + transit_stations_3km * 2 + restaurants_1km,None,Full (100%)
derived_hpi_growth,Market,hist_yoy_growth (preceding quarter YoY city-level HPI growth),None (strictly lagged t-1),Full (100%)
derived_local_price_growth,Market,hist_qoq_growth (preceding quarter QoQ city-level HPI growth),None (strictly lagged t-1),Full (100%)
derived_market_regime,Market,hist_market_regime (Growth/Stable/Declining based on YoY growth),None (strictly lagged t-1),Full (100%)
derived_rent_per_sqft,Rental,median_rent_per_sqft (locality-level rental rate),None (independent rental dataset),Full (100%)
derived_rental_yield,Rental,rental_yield_pct (locality median annual rent / property sale price),"None (uses aggregated rent, not property-specific)",Full (100%)
derived_school_access,Spatial,1 / (schools_distance_km + 0.1) (proximity index),None,Full (100%)
derived_hospital_access,Spatial,1 / (hospitals_distance_km + 0.1) (proximity index),None,Full (100%)
derived_metro_access,Spatial,1 / (metro_stations_distance_km + 0.1) (proximity index),None,Full (100%)
derived_transit_density,Spatial,transit_stations_3km (local transit density),None,Full (100%)
